Job Title,Company,Location,Education,Experience,Deadline
Jr. Implementation & Support Engineer,CIBL Technology Consultants Limited,Anywhere in Bangladesh,B.Sc. / Diploma in CSE/EEE/ECE/IT from any reputed Institute. (Educational qualification is ...,At least 1 year(s),"
5 Sep 2023"
ভি আই পি (সিকিউরিটি গার্ড),আলফা সাইন সিকিউরিটি সার্ভিস লিমিটেড,ঢাকা,"শিক্ষাগত যোগ্যতার সার্টিফিকেট(ফটোকপি)।
জাতীয় পরিচয়পত্র/জন্ম নিবন্ধন। 
২ কপি পাসপোর্ট সাইজের ...",Na,"
5 Sep 2023"
PHP Laravel Developer(Office & Remote),Isbah IT,Dhaka,Bachelor of Computer Application (BCA)Diploma in ComputerBachelor of Science (BSc)Bachelor`s ...,1 to 2 year(s),"
5 Sep 2023"
সহকারী শিক্ষক (হিসাববিজ্ঞান ও ইসলাম শিক্ষা),হলি ক্রিসেন্ট স্কুল,আশুলিয়া,"B.com (Hons), M.com (Accounting)",1 to 2 year(s),"
5 Sep 2023"
Officer - International Carrier Relations,Digital Network Communications,Mirpur,"Bachelor Degree in any discipline
Bachelor of Business Administration (BBA) in Marketing
Must ...",At most 3 year(s),"
4 Sep 2023"
National Sales Manager,VNilam,Khulna Sadar,Bachelor degree in any disciplineMBA & DVM,At least 15 year(s),"
5 Sep 2023"
IT Support Assistant,Ryans Computers Ltd.,Dhaka,Diploma in Engineering in Computer Engineering,At least 3 year(s),"
5 Sep 2023"
Administration (Manager/ Senior Manager),Evergreen Products Factory (BD) Ltd.,"Dinajpur, Nilphamari, Rangpur",Master of Business Administration (MBA)Post Graduate/ MBA or equivalent,10 to 15 year(s),"
4 Sep 2023"
Asst. Manager/Sr. Executive-Maintenance (Mechanical),A 100% Export-oriented Denim Top Bottom Garments Washing Plant,Kashimpur,MSc/ BSc in Mechanical Engineering from any reputed Public/Private University.,At least 5 year(s),"
5 Sep 2023"
Digital Marketing manager (Sales),Dhaka Mart Limited,Dhaka,Bachelor degree in any disciplineBachelor in Engineering (BEngg) in CSE,At least 2 year(s),"
5 Sep 2023"
Senior Software Engineer / WordPress Plugin Developer Senior,Echoasoft Limited,Khilkhet,Bachelor of Science (BSc) in CSEBachelor of Science (BSc) in Any relevant fieldBachelor of ...,At least 3 year(s),"
5 Sep 2023"
Junior Executive (Trade & Business Development),Mika Securities Limited,Anywhere in Bangladesh,"Bachelor of Business Administration (BBA) in Accounting, Finance, Management, MarketingMaster of ...",Na,"
5 Sep 2023"
"E-Commerce Sales Specialist (Amazon, eBay, Walmart, Shopify & Google Ads)",Evergreen Products Factory (BD) Ltd.,"Dhaka, Nilphamari",Bachelor degree in any discipline,2 to 5 year(s),"
5 Sep 2023"
Head of Business,Circle Electric,Dhaka,"At least 15 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 15 year(s),"
5 Sep 2023"
Software Developer (Full-Stack),Leadswin Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 year(s),"
5 Sep 2023"
General Manager - Administration,EXPERIENCE GROUP,Bhaluka,Masters degree in any discipline,At least 15 year(s),"
5 Sep 2023"
Assistant Manager / Deputy Manager - QMS,Jay Jay Mills (Bangladesh) Pvt. Ltd.,Chittagong Epz,Bachelor of Science (BSc) in Textile TechnologyMasters degree in any discipline,6 to 8 year(s),"
5 Sep 2023"
Executive / Senior Executive - QMS - Training & Development,Jay Jay Mills (Bangladesh) Pvt. Ltd.,Chittagong Epz,Bachelor of Science (BSc) in Textile TechnologyMasters degree in any discipline,3 to 6 year(s),"
5 Sep 2023"
Graphic Designer,TuteBD,Savar,Diploma in ComputerHSC,1 to 4 year(s),"
5 Sep 2023"
Customer Service & Support Engineer,NetWorld Technology Limited,Anywhere in Bangladesh,"Diploma in ComputerDiploma in ElectronicsDiploma in ElectricalBachelor of Science (BSc) in EEE, ...",1 to 2 year(s),"
4 Sep 2023"
Assistant (Ultrasound/ECG),Dhanmondi Diagnostic & Consultation Center,"Dhaka, Dhanmondi, Mohammadpur, Dhanmondi 27",HSC,At least 2 year(s),"
5 Sep 2023"
CRM Executive,Inventive Solutions,Anywhere in Bangladesh,Bachelor degree in any discipline,1 to 2 year(s),"
5 Sep 2023"
সিকিউরিটি গার্ড,S.M. Security Services,চট্টগ্রাম,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
Medical Assistant,DBL GROUP,Gazipur,3 Years Diploma from (MATS) with BMDC registration,Na,"
5 Sep 2023"
Nurse,DBL GROUP,Gazipur,3 years Diploma in Nursing from recognized nursing institute with registration from Bangladesh ...,Na,"
5 Sep 2023"
React Native Developer/ Jr. App Developer,Snowtex Group,Dhamrai,Bachelor of Science (BSc) in CSE,1 to 3 year(s),"
5 Sep 2023"
Marketing Executive,The Mall,Nikunja,"1 to 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",1 to 2 year(s),"
5 Sep 2023"
Legal Officer,Meridian Finance & Investment Limited,Gulshan,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Production/ Fabrication Engineer (Steel),Muller International Ltd.,Bhaluka,"4 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",4 to 5 year(s),"
5 Sep 2023"
W&W Company Limited,"Gazipur, Sreepur",Diploma in Chemical Technology / B.Sc in Chemistry / Post Graduation in any discipline,2 to 6 year(s),null,o 6 year(s)
Sales & Marketing Executive,Trip Footwear,Anywhere in Bangladesh,"1 to 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",1 to 3 year(s),"
5 Sep 2023"
Sr. Executive/Asst. Manager Accounts,Holy Apartments Ltd,Dhaka,"5 to 7 year(s)
                                                        






 Deadline: 

5 Sep 2023",5 to 7 year(s),"
5 Sep 2023"
ASSOCIATE SALES ENGINEER,DMS Technologies (Bangladesh) Ltd.,Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",2 to 3 year(s),"
5 Sep 2023"
Site Engineer (Civil),Holy Apartments Ltd,Dhaka,"3 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",3 to 5 year(s),"
5 Sep 2023"
Akota Technology Limited,"ষ্টীল ফেব্রিকেশন / টাওয়ার ম্যানুফেকচারিং ফ্যাক্টরীতে কিছু সংখ্যক দক্ষ / অদক্ষ ছেলে, পরিশ্রমী / উদ্যমী কর্মী নিয়োগ করা হবেসকল জেলার লোক (ছেলে) আবেদন করতে পারবেনভাজনকরা, গুনবতী, চৌদ্দগ্রাম, কুমিল্লা এসে বা থেকে কাজ করতে হবে",কুমিল্লা,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
"General Manager, Construction (Dhaka)",building technology & ideas ltd.,Dhaka,B.Sc in Civil Engineering from any reputed public university.,At least 15 year(s),"
4 Sep 2023"
Video Editor,TuteBD,Savar,HSCDiploma in Computer,1 to 3 year(s),"
5 Sep 2023"
Area Sales Manager (ASM)/ Regional Sales Manager (RSM),New Vision.,Anywhere in Bangladesh,Bachelor degree in any discipline,At least 5 year(s),"
5 Sep 2023"
Executive/ Sr. Executive - Accounts,SEKA Power Ltd.,Gulshan,"Masters in Accounts, MBA, ICMA.",At least 2 year(s),"
5 Sep 2023"
Executive - Sales,SEKA Power Ltd.,Gulshan,B.Sc. Engineering in Electrical / Mechanical,At least 1 year(s),"
5 Sep 2023"
Assistant Manager - Finance & Accounts,SEKA Power Ltd.,Gulshan,"BBA/MBA/M.Com in Accounting from any reputed Institute.
         CA (Partly Qualified)",3 to 7 year(s),"
5 Sep 2023"
"Executive / Senior Executive, Production (Factory IN charge)",SEKA Power Ltd. (Generators canopy Manufacturing Factory),Khilgaon,"Bachelor of Science (BSc) in Mechanical or Electrical Engineering, Diploma in Mechanical or ...",At least 2 year(s),"
5 Sep 2023"
Executive - Customer Service,US-Bangla Airlines,"Barishal, Chattogram, Cox's Bazar, Dhaka, Jashore, Rajshahi, Sylhet, Saidpur",Graduation/Post Graduation in any discipline from any reputed public/private university or ...,Na,"
5 Sep 2023"
Jr. Executive Officer,Bari International Consultancy,Mirpur 10,Bachelor degree in any discipline,1 to 4 year(s),"
5 Sep 2023"
NDT Technician/Engineer,"ARL Laboratory Service, Australia",Australia,"Bachelor degree in any discipline in Science, Engineering etc.Diploma in EngineeringASNT / CSWIP ...",At least 10 year(s),"
4 Sep 2023"
Receptionist,Red Lifestyle Salon,Mohammadpur,A Level,1 to 2 year(s),"
5 Sep 2023"
প্রভাষক,হাতেখড়ি পাবলিক স্কুল অ্যান্ড কলেজ,গাজীপুর সদর,সংশ্লিষ্ট বিষয়ে অনার্স/মাস্টার্স ডিগ্রী।,Na,"
5 Sep 2023"
Manager/ Senior Manager - Legal,Emami Bangladesh Ltd.,Anywhere in Bangladesh,Master of Law (LLM) in from UGC Approved Renowned University,8 to 12 year(s),"
5 Sep 2023"
Executive/ Sr. Executive - MIS,A Reputed Garments Industries,Dhaka,B.Sc in CSE/ EEE from any reputed university.,2 to 4 year(s),"
5 Sep 2023"
Pharmacist,East Coast Group,Kulaura,Diploma in Pharmacy.,1 to 3 year(s),"
5 Sep 2023"
GM Marketing,M.B INTERNATIONAL,Dhaka,"5 to 8 year(s)
                                                        






 Deadline: 

5 Sep 2023",5 to 8 year(s),"
5 Sep 2023"
"Sr. Officer, Production",Benham Pharmaceuticals Limited,Savar,"3 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",3 to 5 year(s),"
5 Sep 2023"
Junior Mobile Developer,Fiftytwo Digital Ltd,Dhaka,"1 to 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",1 to 3 year(s),"
5 Sep 2023"
Senior Mobile Developer,Fiftytwo Digital Ltd,Dhaka,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
M/ AM - Finance & Accounts.,Arif Agro Industries Ltd.,Dhaka,"5 to 7 year(s)
                                                        






 Deadline: 

4 Sep 2023",5 to 7 year(s),"
4 Sep 2023"
Marketing Executive,TM Enterprise,Dhaka,Bachelor degree in any disciplineHSC or Bachelor of Arts degree in any discipline.,Na,"
4 Sep 2023"
Marketing Executive,The Print Media,Dhaka,Bachelor degree in any discipline,1 to 5 year(s),"
5 Sep 2023"
Executive - QMS,A Reputed Garments & Textile Group,Demra Staff Quarter,Bachelor degree in any disciplineBSc in Textile Engineering is highly preferable.,At least 3 year(s),"
5 Sep 2023"
সিভিল ইঞ্জিনিয়ার,Greenlife Builders & Properties Ltd.,বান্দরবান সদর,"ডিপ্লোমা  হলে ৫ বছর অভিজ্ঞতা।
বিএসসি সিভিল হলে ৩ বছরের অভিজ্ঞতা।",Na,"
5 Sep 2023"
Graphics Designer & Video Editor,Madina Garments,Dhaka,Educational qualifications may be relaxed based on experiences and expertise.,0 to 1 year(s),"
4 Sep 2023"
Trainee Executive,Dhaka Thai Ltd.,Anywhere in Bangladesh,Bachelor degree in any disciplineBachelor of Business Administration (BBA)Minimum honors / BBA,Na,"
5 Sep 2023"
Assistant Manager - Product Management,Apex Footwear Limited,Gulshan,Bachelor of Business Administration (BBA),4 to 7 year(s),"
5 Sep 2023"
Store Keeper,Red Lifestyle Salon,Mohammadpur,HSC,1 to 2 year(s),"
5 Sep 2023"
Senior Executive- Sales & Marketing,Khan Accessories & Packaging com Ltd. (Kapco),Tongi,Bachelor degree in any discipline,At least 3 year(s),"
5 Sep 2023"
"Executive, Brand",Apex Footwear Limited,Gulshan,Bachelor of Business Administration (BBA) in Marketing,2 to 5 year(s),"
5 Sep 2023"
Sr. Executive/ Executive Marketing,Roxy Paints Limited,Dhaka,Honors /master`s from any reputed University,1 to 2 year(s),"
5 Sep 2023"
Marketing Officer,HAVEN CITY HOUSING LTD,Dhaka,Bachelor of Business Administration (BBA) in MarketingCandidates having Graduation/BBA degree  ...,At least 1 year(s),"
5 Sep 2023"
Education Consultant,Irving Education,Banani,Bachelor degree in any discipline,1 to 2 year(s),"
5 Sep 2023"
Sr. Executive- Sales & Marketing,Automatic Bricks & Ceramics PVT Ltd,"Gazipur, Mymensingh",Master of Business Administration (MBA)Masters degree in any discipline,3 to 5 year(s),"
5 Sep 2023"
Barista,HOTEL 71,Dhaka,Bachelor degree in any disciplineHotel Management is preferable.,3 to 7 year(s),"
4 Sep 2023"
Sr. Executive / Asst. Manager (Sales & Marketing),Ashiyan Group,GULSHAN 2,Bachelor of Business Administration (BBA),At least 4 year(s),"
5 Sep 2023"
Audit Officer,NOAPARA GROUP,Jashore,"Master of Commerce (MCom) in Accounting,CA,CC",3 to 5 year(s),"
5 Sep 2023"
Sales & Service Engineer,SHAFIN SYSTEMS,Dhaka,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Sr. Executive Accounts & Finance,Grameen Tubes & Bulbs Co.,Dhaka,"8 to 10 year(s)
                                                        






 Deadline: 

5 Sep 2023",8 to 10 year(s),"
5 Sep 2023"
Manager / Assistant Manger (CA/ ACA/FCA/ ACMA/FCMA),Arif Agro Industries Ltd.,Dhaka,"7 to 11 year(s)
                                                        






 Deadline: 

4 Sep 2023",7 to 11 year(s),"
4 Sep 2023"
Trainee Service Engineer,Siemens Healthcare Ltd.,Dhaka,Bachelor of Science (BSc) in EEE,1 to 2 year(s),"
5 Sep 2023"
Japanese Language Teacher,Irving Education,Banani,Bachelor degree in any discipline,At least 2 year(s),"
5 Sep 2023"
Marketing Executive,CITY DIAGNOSTIC CENTER,সোনাডাঙ্গা,"Na
                                                        






 Deadline: 

5 Sep 2023",null,Na
Territory Sales Manager (TSM),MEP Group,Anywhere in Bangladesh,Masters degree in any disciplineMBA Marketing will get preference.,At least 4 year(s),"
5 Sep 2023"
Sr. Executive/ Executive (Corporate Sales & Marketing),MEP Group,Anywhere in Bangladesh,Masters degree in any discipline in MarketingGraduation from any reputed University.,At least 3 year(s),"
5 Sep 2023"
Senior Software Engineer,StudyNet Pty Ltd,Dhaka,"Academic Valour: Possess a Bachelor`s or higher degree in Computer Science, Software Engineering, ...",3 to 5 year(s),"
5 Sep 2023"
Manager/ Deputy Manager - Technical Support & Business Development (TSBD),Bengal Cement Limited,Dhaka,B.Sc/M.sc in Civil Engineering from any reputed University.,At least 8 year(s),"
5 Sep 2023"
Facebook and Google ads Expert,Digital Kuli,Uttara Sector 7,"1 to 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,o 2 year(s)
Pharmacy Salesman,Shilmoon Specialized Hospital,Tongi,"Diploma in pharmacy discipline/ Well experience in this role.
In the case of Experience ...",3 to 7 year(s),"
5 Sep 2023"
Sr. Executive/Asst. Manager - Sales & Marketing,Universal Gas & Gas Cylinder Ltd. (Dhaka),Dhaka,Bachelor degree in any disciplineMechanical/Electrical Engineers will be preferred.,2 to 3 year(s),"
4 Sep 2023"
ড্রাইভার,Besthome Properties Ltd,বাংলাদেশের যেকোনো স্থানে,"At least 7 year(s)
                                                        






 Deadline: 

4 Sep 2023",null,t 7 year(s)
"Assistant Manager, ECR",Unicom Textile Mills Ltd.(Factory),Fatullah,"Bachelor of Science (BSc) in Environmental Science
Skills Required: Analytical and problem solving ...",5 to 7 year(s),"
5 Sep 2023"
শাখা ব্যবস্থাপক- সঞ্চয় ও ঋণ কর্মসূচী,যুগান্তর সমাজ উন্নয়ন সংস্থা (জেএসইউএস),চট্টগ্রাম,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
সিনিয়র ক্রেডিট অফিসার- সঞ্চয় ও ঋণ কর্মসূচী,যুগান্তর সমাজ উন্নয়ন সংস্থা (জেএসইউএস),চট্টগ্রাম,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
জুনিয়র ক্রেডিট অফিসার- সঞ্চয় ও ঋণ কর্মসূচী,যুগান্তর সমাজ উন্নয়ন সংস্থা (জেএসইউএস),চট্টগ্রাম,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
Distribution Support Officer,ShopUp,Anywhere in Bangladesh,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
Sales Representative,Star Plus,কালীগঞ্জ,"Na
                                                        






 Deadline: 

4 Sep 2023",Na,"
4 Sep 2023"
Teacher- English Language,Sydney International School,Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",2 to 3 year(s),"
5 Sep 2023"
Asst. Manager/ Dy. Manager - RHEL Sales,Rupayan Housing Estate Limited,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 5 year(s),"
5 Sep 2023"
AGM/ DGM (RHEL - Sales),Rupayan Housing estate Ltd.,Dhaka,"12 to 15 year(s)
                                                        






 Deadline: 

5 Sep 2023",12 to 15 year(s),"
5 Sep 2023"
HR & Compliance Executive,Rose Sweaters Ltd. (Unit-2),Gazipur,Bachelor degree in any discipline,At least 2 year(s),"
5 Sep 2023"
Asst. Security Officer/ Supervisor,Rose Sweaters Ltd. (Unit-2),Gazipur,8 Pass,At least 2 year(s),"
5 Sep 2023"
Senior Software Engineer,Eudika Technologies Ltd,Dhanmondi,Bachelor of Science (BSc) in Computer ScienceBachelor`s degree in Computer Science (or related ...,At least 4 year(s),"
4 Sep 2023"
Brand Promotor,Voice Marketing,টঙ্গী,"Na
                                                        






 Deadline: 

4 Sep 2023",null,Na
Marketing and Growth Specialist,Eudika Technologies Ltd,Anywhere in Bangladesh,Bachelor of Business Administration (BBA) in Marketing,At least 3 year(s),"
4 Sep 2023"
Account/Office Manager,Eudika Technologies Ltd,Dhanmondi,Bachelor of Business Administration (BBA),At least 2 year(s),"
4 Sep 2023"
Security Officer/ IN charge,Rose Sweaters Ltd. (Unit-2),Gazipur,SSC,At least 2 year(s),"
5 Sep 2023"
Officer/ Senior Officer (Commercial),Dhaka EMB,Dhaka,Masters in Commerce from any reputed public/ private university.,At least 5 year(s),"
5 Sep 2023"
Private Assistant cum Office Executive,AFW,"Uttara, Uttara Sector 10",O Level,Na,"
5 Sep 2023"
Graphic Designer,H Power Group,Anywhere in Bangladesh,Bachelor of Fine Arts (B.F.A)Diploma in Graphics Design/ Fine Arts/ Bachelor in Graphics Design. ...,At least 2 year(s),"
4 Sep 2023"
Business Development Executive,Set Square Architects,Anywhere in Bangladesh,Bachelor of Business Administration (BBA) in MarketingBachelor of Business Administration (BBA) in ...,At least 2 year(s),"
4 Sep 2023"
Liaison  Officer,HCCB,Dhaka,"Computer skilled or well known both English and Bengali typing, website visit and on line form ...",Na,"
4 Sep 2023"
Operations Executive,City Group,"Gazipur, GULSHAN 2",Bachelor of Business Administration (BBA) In Retail Management or a related field,1 to 2 year(s),"
4 Sep 2023"
Intern-Sales Admin,PRAN Group,Dhaka,BBA or MBA from any reputed university.,Na,"
4 Sep 2023"
Manager (Accounts & Finance),A well reputed Group of Companies,Kashimpur,Master of Commerce (MCom) in AccountingMaster of Business Administration (MBA) in Accounting,10 to 13 year(s),"
4 Sep 2023"
Assistant Production Manager,DEKKO Legacy Group,Ashulia,"8 to 10 year(s)
                                                        






 Deadline: 

5 Sep 2023",8 to 10 year(s),"
5 Sep 2023"
Shantinagar Income Tax Consultancy Ltd,Dhaka,"HSC, Graduate , University Students can apply (Running/Passed)
LLB, LLM graduate students will get ...",At most 1 year(s),null,t 1 year(s)
Acquaint Technologies Ltd,"software development, Web application, Mobile app, E-commerce and Enterprise Solutions. IT Consultancy.",Dhaka,"1 to 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",1 to 2 year(s),"
5 Sep 2023"
Engineer/ Executive (Corporate Marketing),Techno Bangla Engineering Ltd.,Dhaka,"Na
                                                        






 Deadline: 

4 Sep 2023",Na,"
4 Sep 2023"
Green View Resort & Convention Center Ltd.,Uttar Khan,"Masters degree in any disciplineDiploma in Hotel Management will be added an advantages.
A ...",At least 15 year(s),null, 15 year(s)
Customer Relationship Executive,GTC BPO Services Limited,Mohakhali,Bachelor degree in any discipline,0 to 1 year(s),"
4 Sep 2023"
HR Officer,Mariners Food & Agro Limited,Anywhere in Bangladesh,"Bachelor of Business Administration (BBA) in HRM, Master of Business Administration (MBA) in HRM",At least 1 year(s),"
4 Sep 2023"
কাস্টমার সার্ভিস এসিস্টেন্ট (লোডার),ইউ-এস বাংলা এয়ারলাইন্স,"বরিশাল, চট্টগ্রাম, কক্সবাজার, ঢাকা, যশোর, নীলফামারী, রাজশাহী, সিলেট",এস এস সি বা সমমান।,Na,"
4 Sep 2023"
Assistant Manager (Quality Assurance) Barishal Factory,A Leading Group of Companies,Barishal,Master of Science (MSc) in ChemistryMasters degree in any discipline,At least 9 year(s),"
4 Sep 2023"
Store Operations (Sales Representative),City Group,Gazipur,Diploma in Business Studies in ManagementHSC in Business StudiesSSC in Business Studies,1 to 2 year(s),"
4 Sep 2023"
Electrical and Electronics Engineer (EEE),Rongdhanu Group,Basundhara RA,"Bachelor in Engineering (BEngg) in Electrical  Electronic EngineeringCandidates from BUET, CUET, ...",At least 5 year(s),"
4 Sep 2023"
Project Engineer  (HVAC & Water System),Renowned Company,Anywhere in Bangladesh,Diploma in Engineering in Chemical or Mechanical Engineering,2 to 5 year(s),"
4 Sep 2023"
Sr. Officer (Tax Financial Reporting),Mahbub Group of Industries.,Uttara,CA(CC) with MBA in Accounting/ Finance.,Na,"
4 Sep 2023"
Accounts Executive,Mahdeen Group,Uttara,"At least a Bachelor`s Degree in Accounting, Finance or Bachelor of Business Administration (BBA) in ...",1 to 2 year(s),"
4 Sep 2023"
Sales & Marketing Executive,Technogym Dhaka (World Leading Italian Wellness Company),Banani,Bachelor of Business Administration (BBA) in MarketingEnglish Medium Back ground is ...,2 to 5 year(s),"
4 Sep 2023"
Management Trainee (Sales & Marketing),S S Enterprise,Dhaka,"Bachelor`s degree in any discipline
Skills Required: Core Marketing Knowledge, Data Analysis, MS ...",Na,"
4 Sep 2023"
Guardian Network,Banani,Masters degree in any disciplineBachelor degree in any discipline,1 to 3 year(s),null,o 3 year(s)
Fire Safety Officer,Reputed Spinning Mills,Narsingdi,"At least 5 year(s)
                                                        






 Deadline: 

4 Sep 2023",At least 5 year(s),"
4 Sep 2023"
Manager / AGM - Shipping Agent & Project Logistics,Mazada Group,Dhaka,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
Distribution Audit Manager,ShopUp,Dhaka,"At least 4 year(s)
                                                        






 Deadline: 

4 Sep 2023",At least 4 year(s),"
4 Sep 2023"
Digital Marketer,IMBD Agency,DOHS Banani,"At least 1 year(s)
                                                        






 Deadline: 

4 Sep 2023",At least 1 year(s),"
4 Sep 2023"
Executive (Accounts),Huetech BD,Uttara,"2 to 3 year(s)
                                                        






 Deadline: 

4 Sep 2023",2 to 3 year(s),"
4 Sep 2023"
Executive (Front Desk),SWAN Properties Ltd.  A Sister Concern of SWAN GROUP (Swan Foam++),Dhaka,"Na
                                                        






 Deadline: 

4 Sep 2023",Na,"
4 Sep 2023"
"SR. EXECUTIVE DIGITAL MARKETING (SEO, WEBSITE EXPERT)",HANGZHOU SUNSHINE TRIMS,Anywhere in Bangladesh,Bachelor degree in any discipline,At least 2 year(s),"
4 Sep 2023"
Jist Life Care,Anywhere in Bangladesh,"B.sc/M.sc (Biochemistry & Molecular Biology, Health Technology, Microbiology, Biotechnology",At least 1 year(s),null,t 1 year(s)
Executive - Store & Inventory,S S Enterprise,Dhaka,"Bachelor/Master`s degree in any discipline from a well-reputed university, Education qualification ...",2 to 3 year(s),"
4 Sep 2023"
Lab Technologist,Nari Shishu Hospital And Diagnostic Center,Savar,"Diploma in Medical TechnologyDiploma in Pathology
Diploma in Medical Technology in (Lab).",2 to 3 year(s),"
4 Sep 2023"
Laser Therapist,Glowing Beauty The Esthetic clinic,Dhanmondi 27,Diploma in Nursing in Laser Specialist,At most 1 year(s),"
4 Sep 2023"
Sample Collector/ Phlebotomist,Khidmah Hospital Ltd.,Khilgaon,"Diploma in Pathology / Medical Technology.
In the case of Experience Applicants, Education may be ...",At least 1 year(s),"
4 Sep 2023"
"Officer, IT",A Leading Manufacturing Company,"Dhaka, Dhamrai",Bachelor of Science (BSc) in Computer Science & EngineeringDiploma in Computer in Computer Science ...,At least 3 year(s),"
4 Sep 2023"
Asst. Manager-IT & MIS,A reputed group of companies,Anywhere in Bangladesh,B.Sc/ M.Sc in IT.,At least 8 year(s),"
4 Sep 2023"
কেয়ারটেকার + গার্ডেনার,HM Expo Private ltd,ভাটারা,"Na
                                                        






 Deadline: 

4 Sep 2023",null,Na
Sr. Manager/ Manager-Sales & Marketing (Flat/Apartment),Sajeeb Homes Ltd. (A sister concern of Sajeeb Group),Dhaka,Masters degree in any disciplineMaster of Business Administration (MBA) in Marketing is ...,At least 7 year(s),"
4 Sep 2023"
Executive- Batch,Interstoff Apparels Limited,Gazipur,Graduation,At least 10 year(s),"
4 Sep 2023"
বিনিয়োগ কর্মকর্তা,আশ্রয়,বাংলাদেশের যেকোনো স্থানে,যে কোন বিষয়ে ন্যূনতম স্নাতকোত্তর ডিগ্রী।,Na,"
4 Sep 2023"
Customer Relationship Manager,Promixco Group,Dhaka,"Bachelor of Business Studies (BBS)Bachelor`s degree in Business, Marketing, or a related field.",At least 5 year(s),"
4 Sep 2023"
Documentation Expert-Tender Marketing,Promixco Group,Dhaka,"Bachelor of Business Administration (BBA)Bachelor`s degree in Business, Communication, Marketing, ...",At least 8 year(s),"
4 Sep 2023"
Fabrics Quality Controller,WinTex Fabrics and Fashions,Ashulia,SSCHSC,1 to 2 year(s),"
4 Sep 2023"
Sourcing & Costing-Tender Marketing Specialist,Promixco Group,Dhaka,"Bachelor of Commerce (BCom)Bachelor`s degree in Business, Supply Chain Management, Engineering, or ...",At least 8 year(s),"
4 Sep 2023"
Sr. Marketing Executive,Idealist Architects & Interior,Chattogram,Bachelor degree in any discipline from any university.,Na,"
4 Sep 2023"
HR & Account Executive,Idealist Architects & Interior,Chattogram Sadar,Bachelor degree in any discipline Or running ( BBA/ Honors ) from any university.,Na,"
4 Sep 2023"
Human Resources Manager (HR Manager),Promixco Group,Dhaka,"Bachelor of Business Administration (BBA)Bachelor`s degree in Human Resources, Business ...",At least 8 year(s),"
4 Sep 2023"
Manager (Sales & Marketing),Techno Bangla Engineering Ltd.,Dhaka,"3 to 5 year(s)
                                                        






 Deadline: 

4 Sep 2023",3 to 5 year(s),"
4 Sep 2023"
Sales Manager / Territory Manager,RZ MEDIC PVT LTD,Dhaka,"Na
                                                        






 Deadline: 

4 Sep 2023",Na,"
4 Sep 2023"
Jeans Culture Ltd,Dhaka,"MBA, BA, B.Com, B.SC.",5 to 7 year(s),null,o 7 year(s)
Administrative Manager,Promixco Group,Dhaka,"Bachelor of Business Administration (BBA)Bachelor`s degree in Business Administration, Management, ...",At least 8 year(s),"
4 Sep 2023"
Factory Operations Manager,Promixco Group,"Dhaka, Gazipur","Bachelor degree in any disciplineBachelor`s degree in Industrial Engineering, Manufacturing ...",At least 5 year(s),"
4 Sep 2023"
AutoCAD Engineer ( Specially steel building),Automan Steel Building System Limited (ASBS),Mohammadpur,Bachelor of Science (BSc)B. Sc in Civil Engineering.,At least 2 year(s),"
4 Sep 2023"
Production Manager - Medical Furniture,Promixco Group,"Dhaka, Gazipur","Bachelor degree in any disciplineBachelor`s degree in Industrial Engineering, Manufacturing ...",At least 5 year(s),"
4 Sep 2023"
Production Designer-Medical Furniture,Promixco Group,Gazipur,"Bachelor degree in any disciplineBachelor`s degree in Industrial Design, Furniture Design, Product ...",At least 5 year(s),"
4 Sep 2023"
Industrial Engineer,Handicraft Beauty and Fashion Ltd.,Gazipur,Master of Science (MSc) in IEBachelor of Science (BSc) in IE,3 to 5 year(s),"
4 Sep 2023"
